year,peak_month_passengers,mean_month_passengers,peak_to_average_ratio
2019,5270.104,3176.092,1.6593045793383818
2021,345793.0,124901.41666666667,2.7685274453118693
2022,724264.0,326839.9166666667,2.215959443958166
2023,801169.0,442014.4166666667,1.8125404280742727
2024,847013.0,449620.75,1.8838387685621716
2025,901863.0,482141.75,1.870534961969172
