policy_priority,neighbourhoods,mean_tpi,mean_airbnb_per_1000,mean_hut_per_1000
Critical multi-pressure hotspot,8,54.03707774088527,31.495124143484382,17.10238369833843
Platform and licensed hotspot,9,32.68301911441502,14.607345644369907,9.35818672710645
Platform-heavy pressure,2,29.650123880625017,18.321262582941024,5.409761320647356
Licensed-accommodation pressure,2,26.575225915238924,8.16738205050049,10.197370430024247
Lower measured pressure,52,12.780427042343648,2.6286334749972746,1.1934311301859628
