year,consumption_value,consumption_index_2019_100
2019,6947665788,100.0
2020,6130748798,88.2418496380327
2021,6191946389,89.1226863516481
2022,6320521670,90.97331194193016
2023,5951235783,85.65806077314437
2024,5998510712,86.33850411113069
2025,5468607664,78.7114382134698
