year,passengers,cruise_passengers,passenger_index,cruise_share_pct
2019,38113.104,0.0,2.5428790839708917,0.0
2021,1498817.0,0.0,100.0,0.0
2022,3922079.0,0.0,261.6783102940519,0.0
2023,5304173.0,0.0,353.89063508086707,0.0
2024,5395449.0,0.0,359.9805046246473,0.0
2025,5785701.0,0.0,386.0178394026756,0.0
