district_name,neighbourhood_name,tpi_0_100,Airbnb per resident,Entire-home Airbnb,HUT licences,HUT capacity,Recent Airbnb use,Platform availability
Eixample,la Dreta de l'Eixample,100.0,4.105089253411132,3.9964120230040057,5.562674992030781,6.255061633196935,5.360999170050075,0.9541458864096343
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55.921357515447966,3.873624321522896,3.83720942736582,0.9659019251366918,0.4536566224746497,2.104052077503961,0.4368215751638473
Eixample,Sant Antoni,49.516564873399986,1.4932763564312108,1.5651142274317782,2.009563853276536,1.7963544665291502,1.8750321877645908,0.8158491483522675
Ciutat Vella,el Barri Gòtic,49.22747517530525,3.117021211727486,2.491590572937653,0.6582325554725716,0.5319547200587689,2.301423898763009,0.3594551039048376
Eixample,l'Antiga Esquerra de l'Eixample,47.33034751790532,1.3749327813525976,1.3750827095012026,1.9247616082145846,2.046051414795746,1.5270964564171146,0.5849621911780709
Eixample,la Sagrada Família,44.29071572171079,1.0722400593875245,1.2613142595808513,1.7474235532237286,1.4704503965167819,1.7333811924422737,0.5438155221439113
Gràcia,la Vila de Gràcia,43.308244833803116,1.14767884967318,1.2527420498568211,1.7701076042444284,1.4161171479187744,1.4214516907292658,0.4959296566337322
Sants-Montjuïc,el Poble-sec,42.701916289509775,1.1521435242961349,1.262423892503733,1.5607072043496222,1.104435329101424,1.807031679008995,0.4169608353123743
Sant Martí,la Vila Olímpica del Poblenou,40.539269576080024,0.7123643893759043,1.1133808645891476,1.1135632709941614,1.3326553829387737,1.2501844803719426,1.0670384886750053
Ciutat Vella,la Barceloneta,39.1944883579225,2.2756102965876974,2.9013447163788983,0.5846655102790174,-0.20265522816019088,0.6764091651753285,-0.09048906647308963
Sant Martí,el Poblenou,34.62573063335044,0.5597657779590739,0.8171036901601054,1.3956113515788524,1.0654124860423295,0.632185444784916,0.16533744053601962
Ciutat Vella,el Raval,33.29213885000545,1.7224204844267075,1.207581563685412,0.10484153173923703,0.08831828302209077,0.9567424085643447,0.11490730731464315
Eixample,el Fort Pienc,33.1223347812578,0.5042902581803498,0.5021168048269432,0.9606415018023443,0.9519169894831724,0.9027218287587087,0.31702272836031414
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,31.838940943499296,0.2444525174040041,0.46238397838655065,0.8096332321230245,1.292842328349221,0.5647581985870952,0.34062011424856703
Sants-Montjuïc,Hostafrancs,31.123020565211988,0.3280432828695083,0.37896127857922174,0.9766042066214623,0.7355100068267341,0.8876607067995238,0.17137837073630902
Eixample,la Nova Esquerra de l'Eixample,31.018306402521407,0.4679299072476043,0.44419266065213037,0.6863495376307797,0.6540946183123731,0.599067962682863,0.5919267147052746
Sants-Montjuïc,la Font de la Guatlla,29.546890309439476,0.10753628031842621,-0.11268556994406762,1.37314639817696,0.9641044076037874,0.2438786940715033,0.3814408853021351
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,27.27694927620889,0.3718919063357775,0.294804103304471,0.3104427193927042,0.574096942038342,-0.14015417819550513,0.79637510721949
Sant Martí,el Parc i la Llacuna del Poblenou,26.00810891124458,0.19683504464253546,0.2762145949010223,0.24457002794482013,0.13313327383609824,0.5111061314285185,0.42638609842610126
Sarrià-Sant Gervasi,el Putxet i el Farró,25.408131493682824,0.10890603651703182,0.058211713000459915,0.35795519958824773,0.3627565280705726,0.008189302481719037,0.6940002020976359
